"date","close","volume","open","high","low"
"16:00","284.68","89,596,953","285.97","286.43","284.50"
"2018/01/26","286.5800","107598800.0000","284.2500","286.6285","283.9600"
"2018/01/25","283.3000","84342320.0000","284.1600","284.2700","282.4050"
"2018/01/24","283.1800","134617200.0000","284.0200","284.7000","281.8400"
"2018/01/23","283.2900","96892090.0000","282.7400","283.6200","282.3700"
"2018/01/22","282.6900","91146870.0000","280.1700","282.6900","280.1100"
"2018/01/19","280.4100","141303100.0000","279.8000","280.4100","279.1400"
"2018/01/18","279.1400","100397600.0000","279.4800","279.9600","278.5800"
"2018/01/17","279.6100","112844200.0000","278.0300","280.0500","276.9700"
"2018/01/16","276.9700","106269200.0000","279.3500","280.0900","276.1800"
"2018/01/12","277.9200","90463870.0000","276.4200","278.1100","276.0819"
"2018/01/11","276.1200","62236650.0000","274.7500","276.1200","274.5600"
"2018/01/10","274.1200","69394220.0000","273.6800","274.4200","272.9200"
"2018/01/09","274.5400","57114650.0000","274.4000","275.2500","274.0810"
"2018/01/08","273.9200","57116850.0000","273.3100","274.1000","272.9800"
"2018/01/05","273.4200","82724160.0000","272.5100","273.5600","271.9500"
"2018/01/04","271.6100","80455860.0000","271.2000","272.1600","270.5447"
"2018/01/03","270.4700","89133670.0000","268.9600","270.6400","268.9600"
"2018/01/02","268.7700","86408820.0000","267.8400","268.8100","267.4000"
"2017/12/29","266.8600","95651160.0000","268.5300","268.5500","266.6400"
"2017/12/28","267.8700","44797000.0000","267.8900","267.9200","267.4500"
"2017/12/27","267.3200","57677280.0000","267.3800","267.7300","267.0100"
"2017/12/26","267.1900","45106430.0000","267.0500","267.4377","266.8850"
"2017/12/22","267.5100","78657310.0000","267.6000","267.6350","266.9000"
"2017/12/21","267.5800","65925710.0000","267.7400","268.3850","267.3000"
"2017/12/20","267.0300","76604710.0000","268.2700","268.3300","266.6900"
"2017/12/19","267.1700","78001550.0000","268.4800","268.5300","267.0900"
"2017/12/18","268.2000","83360810.0000","268.1000","268.6000","267.9800"
"2017/12/15","266.5100","142356000.0000","265.4500","267.0400","265.3900"
"2017/12/14","265.6600","99647210.0000","267.0900","267.2200","265.6000"
"2017/12/13","266.7500","102819600.0000","267.0600","267.5600","266.6500"
"2017/12/12","266.7800","84494560.0000","266.5700","267.3200","266.3450"
"2017/12/11","266.3100","82848590.0000","265.5800","266.3800","265.4793"
"2017/12/08","265.5100","76301480.0000","264.9900","265.5200","264.0315"
"2017/12/07","264.0700","76832360.0000","263.0900","264.4300","262.9400"
"2017/12/06","263.2400","75513050.0000","262.8700","263.7300","262.7100"
"2017/12/05","263.1900","77839930.0000","264.4300","265.1500","263.0400"
"2017/12/04","264.1400","93827280.0000","266.3100","266.8000","264.0800"
"2017/12/01","264.4600","163874800.0000","264.7600","265.3100","260.7600"
"2017/11/30","265.0100","126401000.0000","263.7600","266.0500","263.6700"
"2017/11/29","262.7100","77179920.0000","263.0200","263.6300","262.2000"
"2017/11/28","262.8700","98662580.0000","260.7600","262.9000","260.6550"
"2017/11/27","260.2300","52070370.0000","260.4100","260.7500","260.0000"
"2017/11/24","260.3600","27856510.0000","260.3200","260.4800","260.1600"
"2017/11/22","259.7600","44890370.0000","260.0000","260.1500","259.5700"
"2017/11/21","259.9900","68920380.0000","259.1800","260.2000","258.2627"
"2017/11/20","258.3000","47835520.0000","258.1400","258.5250","257.8600"
"2017/11/17","257.8600","75679800.0000","258.2200","258.5882","257.7700"
"2017/11/16","258.6200","67487850.0000","257.5200","259.0400","257.4748"
"2017/11/15","256.4400","80248990.0000","256.6200","257.2200","255.6300"
"2017/11/14","257.7300","61082090.0000","257.4100","257.8500","256.5200"
"2017/11/13","258.3300","50040800.0000","257.3100","258.5900","257.2700"
"2017/11/10","258.0900","59830970.0000","257.7300","258.2926","257.3700"
"2017/11/09","258.1700","94490930.0000","257.7300","258.3900","256.3600"
"2017/11/08","259.1100","50277640.0000","258.4700","259.2200","258.1500"
"2017/11/07","258.6700","57178400.0000","258.9700","259.3500","258.0900"
"2017/11/06","258.8500","49529150.0000","258.3000","259.0000","258.2200"
"2017/11/03","258.4500","59484150.0000","257.7700","258.5000","257.3000"
"2017/11/02","257.5900","56264600.0000","257.4100","257.7500","256.1900"
"2017/11/01","257.4900","54104920.0000","258.0400","258.4300","257.0700"
"2017/10/31","257.1500","59193910.0000","257.1800","257.4400","256.8050"
"2017/10/30","256.7500","54223350.0000","257.0700","257.6000","256.4100"
"2017/10/27","257.7100","85252510.0000","256.4700","257.8900","255.6254"
"2017/10/26","255.6200","69643520.0000","255.9900","256.3000","255.4800"
"2017/10/25","255.2900","103485100.0000","256.1800","256.3100","254.0000"
"2017/10/24","256.5600","65036180.0000","256.6000","256.8300","256.1500"
"2017/10/23","256.1100","63838430.0000","257.4800","257.5100","256.0200"
"2017/10/20","257.1100","89064780.0000","256.7000","257.1400","255.7744"
"2017/10/19","255.7900","61697310.0000","254.8300","255.8300","254.3500"
"2017/10/18","255.7200","40613860.0000","255.9000","255.9500","255.5000"
"2017/10/17","255.4700","31446710.0000","255.2300","255.5200","254.9800"
"2017/10/16","255.2900","38097990.0000","255.2100","255.5100","254.8200"
"2017/10/13","254.9500","55027240.0000","255.1400","255.2700","254.6400"
"2017/10/12","254.6400","46825470.0000","254.6600","255.0600","254.3650"
"2017/10/11","255.0200","47496390.0000","254.5100","255.0200","254.3200"
"2017/10/10","254.6200","42854370.0000","254.6000","255.0500","253.9800"
"2017/10/09","253.9500","35697230.0000","254.6300","254.7000","253.6500"
"2017/10/06","254.3700","80525280.0000","254.1500","254.7008","253.8500"
"2017/10/05","254.6600","63350340.0000","253.5400","254.6800","253.1960"
"2017/10/04","253.1600","55799300.0000","252.6900","253.4400","252.5600"
"2017/10/03","252.8600","66628100.0000","252.4600","252.8900","252.2300"
"2017/10/02","252.3200","58696810.0000","251.4900","252.3200","251.2926"
"2017/09/29","251.2300","85201140.0000","250.3400","251.3200","250.1300"
"2017/09/28","250.3500","44658490.0000","249.7300","250.4400","249.6300"
"2017/09/27","250.0500","80720860.0000","249.8800","250.4900","248.8700"
"2017/09/26","249.0800","54025690.0000","249.4200","249.7000","248.8050"
"2017/09/25","248.9300","56897290.0000","249.1500","249.5532","248.0800"
"2017/09/22","249.4400","51187270.0000","249.0500","249.6300","249.0200"
"2017/09/21","249.3900","48070470.0000","249.8800","249.9800","249.1850"
"2017/09/20","250.0600","59451260.0000","250.0700","250.1900","248.9200"
"2017/09/19","249.9700","46977870.0000","250.0000","250.0700","249.6000"
"2017/09/18","249.7200","46389770.0000","249.6100","250.1200","249.2800"
"2017/09/15","249.1900","94195140.0000","248.6900","249.2900","248.5700"
"2017/09/14","250.0900","94415520.0000","249.8000","250.3200","249.6000"
"2017/09/13","250.1700","58999620.0000","249.7200","250.2100","249.5900"
"2017/09/12","250.0500","56617170.0000","249.6300","250.0900","249.4200"
"2017/09/11","249.2100","71248670.0000","248.0400","249.3000","248.0200"
"2017/09/08","246.5800","63733100.0000","246.5400","247.1100","246.3000"
"2017/09/07","246.8700","57769340.0000","247.2500","247.2700","246.4000"
"2017/09/06","246.9000","57577360.0000","246.8400","247.2800","246.2300"
"2017/09/05","246.0600","90176820.0000","247.2600","247.5200","244.9500"
"2017/09/01","247.8400","61928670.0000","247.9200","248.3300","247.6700"
"2017/08/31","247.4900","102987700.0000","246.7200","247.7700","246.0473"
"2017/08/30","246.0100","61742150.0000","244.8300","246.3200","244.6200"
"2017/08/29","244.8500","50873040.0000","243.0600","245.1500","242.9300"
"2017/08/28","244.5700","38914700.0000","245.1700","245.2000","244.0900"
